Date / Time,City,State,Shape,Duration,Summary,Posted
9/22/06 04:30,Winfield (Canada),BC,Disk,5 seconds,Big bright object over winfield had spinning lights sat in one spot for 5 seconds then took off faster then anything i have ever seen,12/7/06
9/16/06 22:10,Kelowna (Canada),BC,Diamond,1.25hrs,"Stationary, brilliant colored object seen near Kelowna British Columbia; emits ""ball"" light",10/30/06
9/3/06 22:20,Vancouver (Canada),BC,Oval,1 minute,"Oval shaped, bright craft, hovering in sky.",10/30/06
9/2/06 16:00,Cranbrook (Canada),BC,Oval,5 minutes,Oval shaped object with white moving objects adjacent,10/31/08
9/1/06 21:00,Kamloops (Canada),BC,Teardrop,1 hour,"small bright light - low in the North over Kamloops - showing red, blue, green & amber lights - teardrop shaped when using binoculars.",10/30/06
9/1/06 13:00,Comox (Canada),BC,Formation,,"This appears to be a strobing, triangular craft moving rapidly, twice at right-angles to its flight path.",10/30/06
8/27/06 23:27,Comox (Canada),BC,Light,5 seconds,bright lime green light streaked across the sky at night.,10/30/06
8/23/06 01:00,Victoria (Canada),BC,Light,20 seconds,was much faster than a satilte and had no flashing lights as a plane,10/30/06
8/19/06 22:00,Greenville (Canada),BC,Disk,3 hours,4 nights in row...what do they want?,10/30/06
8/8/06 22:30,Vancouver (Canada),BC,Light,2 seconds,"Light like a star moved right, then stopped, then grew brighter and vanished.",10/30/06
8/7/06 00:26,Nanaimo (Canada),BC,Triangle,all night,"blinking red, white and blue in the west coast sky",10/30/06
8/5/06 22:48,Williams Lake (Canada),BC,Unknown,30 seconds,Single object flying slow and then speeding off.,10/30/06
8/4/06 23:15,Vancouver (Canada),BC,Light,30 sec,"August 4th, Bright light in the sky over Vancouver, BC.... strange trajectory.",10/30/06
7/31/06 04:00,Kelowna (Canada),BC,Sphere,1HOUR,bright light seen over black mountain before crop circle reported,12/7/06
7/28/06 22:00,Surrey (Canada),BC,Light,hours,"bright white later yellow and blue light hovering over Fraser River for several hours from Surrey, Canada",10/30/06
7/27/06 23:40,West Vancouver (Canada),BC,Disk,1 minute?,"A flying disk with very bright lights in Vancouver, B.C. Canada",10/30/06
7/17/06 23:30,Abbotsford (Canada),BC,Egg,2 min.,"Two egg shaped, Lighted, super fast moving, vibrating objects traviling north one behind the other.",10/30/06
7/17/06 13:30,Langley (Canada),BC,Disk,3 seconds,"Saucer shape, quickly north wests direction over langley BC",7/4/12
6/23/06 22:40,Victoria (Canada),BC,Diamond,2 minutes,Big diamond shaped object outlined by white lights gliding through the night sky.,1/12/12
6/16/06 23:00,Prince George (Canada),BC,Light,2 Hours,"The first one I dismissed for a brief moment, it was extremely bright, I thought it was planet (Venus or Mars perhaps) then it blinked",7/16/06
5/15/06 00:15,Sooke (Canada),BC,Unknown,in progress,"Very bright slow-moving, hovering light over the Pacific, veiwed from Sooke B.C.",7/16/06
5/2/06 05:12,Abbotsford (Canada),BC,Disk,10 minutes,"Slow moving ""Saturn"" like saucer witnessed over Mission, BC from Central/Western Abbotsford",5/15/06
5/1/06 23:35,Victoria (Canada),BC,Light,1 min,I was having a smoke at about 11:35 PM and looked in the sky and noticed a very bright light and thought it was a plane.It was not movi,5/15/06
4/24/06 19:32,Terrace (Canada),BC,Light,5 seconds,"Bright lights looked like flares going horizontal, out of no where, then disappeared",5/15/06
4/4/06 21:22,Richmond (Canada),BC,Triangle,6 seconds,Triangular object travelling at very high speed with three light with no audiable sound = UFO?,5/15/06
2/17/06 00:00,Coquitlam (Canada),BC,Flash,ON GOING,"Flashing red, blue and white ""stars"" at home over Coquitlam, BC",5/15/06
1/15/06 14:00,Victoria (Canada),BC,Other,2 minutes,my mother took this picture. There is no way she could have doctored this or changed this image in any way. Though she uses a compute,2/24/07
1/1/06 23:00,Prince George (Canada),BC,Circle,15 min,There were four red balls of light flying in formation over the neighbourhood for about 15 or 20 minutes.,8/7/07
11/15/05 07:36,Nisga'a Highway (Canada),BC,Unknown,10-20 seconds,lights and creature,10/30/06
9/28/05 23:00,Bamfield (Canada),BC,Light,6 houres,We watched a light for 6 houres drag somthing off Diana Island and ride it out over the hurison.,10/31/08
8/12/05 13:00,Kelowna (Canada),BC,Other,3 mins,Landing into mountain,2/1/07
7/15/04 21:30,Surrey (Canada),BC,Light,2 minutes,Star like moving away at high speed.,7/4/12
5/4/04 21:30,Delta (Canada),BC,Diamond,1 min,"Stranger square-shaped craft over Delta, B.C.",6/12/07
4/29/02 07:30,Kelowna (Canada),BC,Light,Few minutes,This was reported by our local news outlet called Castanet. There is also a short video on their news site.,6/2/17
12/11/01 20:45,Delta (Canada),BC,Circle,1 minute,Circular UFO with blue color along edge. ((anonymous report)),7/5/19
10/10/01 20:10,Vancouver (Canada),BC,Other,+5 Minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/11
6/30/01 22:00,Fort Nelson (Canada),BC,Circle,,"Glowing lights/orbs over Fort Nelson, BC. ((anonymous report))",12/15/16
2/13/01 23:59,Courtenay (Canada),BC,Light,minutes,Single point of light moves silently at jet speeds at night in a clear sky.,12/12/11
1/1/01 22:00,Burnaby (Canada),BC,Teardrop,40 sec,"UFO checks out abnormal heat source,thinking it could be a heat vent. 500 Lights On Object0: Yes",11/28/07
1/1/01 07:30,Victoria (Canada),BC,,some minutes,"I am always interested in ""fireball"" description sightings because some years ago I had a strange one that I posted to your site. It w",7/19/10
6/30/00 04:00,Kamloops (Canada),BC,,HALF HOUR,"Saw ship outside bedroom window, had mole on solarplexis, pulled out 2 yrs later, long string, flushed in toilet",5/12/10
6/6/00,Black Creek (Canada),BC,Unknown,unsure,"what are they? ((NUFORC Note: Probably specks of dust or moisture, illuminated by the camera flash. PD))",7/16/06
7/7/99 21:30,Delta (Canada),BC,Diamond,30 minutes,"Huge, dazzling diamond-like craft splits into two and 'dances' just over my head!",3/24/16
6/5/98 22:05,Kelowna (Canada),BC,Triangle,22:10,Triangular object seen at night at close range flying over Kelowna British Columbia Canada,8/27/09
6/1/98 17:00,Victoria (Canada),BC,Light,1 minute,Silent Red Ball of light.,5/15/06
6/1/98 13:00,Nanaimo (Canada),BC,Sphere,3 min.,I really need a responce to my email please... Its very Important to me...,2/1/07
3/31/97 21:00,Port Coquitlam (Canada),BC,Triangle,2-3 minutes,Boomerang shaped craft sighting in British Columbia Canada 03/31/97,4/27/07
6/20/96 15:30,Surrey (Canada),BC,Other,30 minutes plus,Strange Planes That Changed Shape And Appear To Be Interdimensional,12/12/11
6/12/96 06:00,Vancouver (Canada),BC,Disk,2-5 mins,i was leaving work and was sitting in the front passenger seat of my co workers vehicle when i noticed on the horizon a disk moving abo,3/31/08
7/3/95 22:00,Penticton (Canada),BC,Light,5 minutes,Darting lights high over Penticton BC,11/28/07
3/9/95 15:00,Burnaby (Canada),BC,Other,45 min,Never seen befor.. A Solid Black Craft.....,8/12/08
3/9/95 15:00,Burnaby (Canada),BC,Other,40 minutes,"On the 9th of March, 1995, around 3 PM, with my recent arrival to B.C., i was sitting in the kitchen of my home drinking coffee and sa",1/9/15
9/1/91 11:00,Kelowna (Canada),BC,Unknown,approx 1 hour,My husband and I were on a holiday in Kelowna B.C staying on the top floor (5th) at The Queen Anne Hotel in the old section of town. We,6/12/08
12/15/90 02:00,Tete Jaune Cache (Canada),BC,Fireball,20-30 seconds,fast moving luminous green fireball,10/30/06
2/16/88 12:30,Little Fort (near) (Canada),BC,Disk,92 hours,4 days of missing time while working in a remote area.,3/23/18
10/1/87 19:00,Victoria (Canada),BC,Sphere,15mins,"Large red and orange sphere, balanced on a rock in 1987.",10/30/06
6/30/83 00:00,Vancouver (Canada),BC,Light,unknown,Orange glowning orb/sky.,9/9/13
4/14/83 05:15,Mission (Canada),BC,Formation,5 minutes,"I just read a few reports on formation sightings and one report is almost identical to mine. ((""Starlink"" satellites??))",4/9/20
6/30/82,Canada,BC,,,There was no vehicle they hiked to the top of the mountain,9/11/15
12/15/80 17:00,Smithers (Canada),BC,Sphere,60-120 seconds,Winter...December....noticed a satellite travelling south to north...second object came into view and travelling in the same south to n,10/19/17
11/27/79 20:45,Burnaby (Canada),BC,Disk,4-5 sec,"the truth is out there , we've all seen it",4/27/07
8/1/78 01:00,Harrison Lake (Canada),BC,Circle,10 - 15 seconds,"Light sped across the night sky, slowing to apparently ""check out"" a satellite, the zig zaged and sped off at a high rate of speed.",4/27/07
7/20/78 17:00,Coquitlam (Canada),BC,Triangle,5 minutes,"Hello, I'm 60 years old now and my witness and i had seen this ufo when i was 17 or 18 years old in the Summer time. This would have be",2/7/20
6/30/78 21:00,Vancouver (Canada),BC,Formation,5 seconds,"3 dark objects, size undetermined, in formation at extreme speed.",9/9/13
12/29/77 02:00,Whitehorse (Canada),BC,Flash,1 hour,Nightime sighting by many witnesses which forced a police car and fire truck off the road,5/12/09
9/26/77 19:00,Willimas Lake (Canada),BC,Unknown,1-2 minutes,Flying object makes impossible maneuvers.,8/30/13
7/14/75 16:00,North Burnaby (Canada),BC,Disk,5-6 minutes,"Observed large golden glowing circular object northbound as from Seattle to Anchorage, on western horizon of Vancouver, BC, Canada.",8/23/19
7/15/74 14:00,Saltspring Island (Canada),BC,Oval,10 seconds,Silent. Approx 50 mph speed.50' off.the ocean. Approx 1/2 mile away. Silver with 45 degree upturned corners. Passed.low.over the water,4/9/20
6/15/73 15:00,Vancouver (Canada),BC,Disk,3.5 minutes,witnessed a disk shaped craft approximately two hundred feet of the ground,6/12/08
9/10/71 21:00,Delta (Canada),BC,Sphere,30 seconds,"When it moved it moved in a wave formation, and as it accelerated into space, it changed it's wavelength.",5/9/19
6/8/70,Burnaby (Canada),BC,Oval,0.00,The reports above you…,4/18/12
11/15/69 06:00,Vancouver (Canada),BC,Sphere,7 hours,translucent 12 inch balls of light that are sentient beings with a mission on our little sphere. 500 Lights On Object0: Yes,11/28/07
8/29/69 19:00,Vernon (Canada),BC,Cigar,4 seconds,"Large, white cigar shaped object stops above house.",6/12/08
5/10/64 19:00,Vancouver (Canada),BC,,15 minutes,When I was babysitting my brother and sister in Vancouver we heard a sound that was loud and deep-so loud we ran outside to find the so,4/27/07
8/21/61 11:40,Kelowna (Canada),BC,Changing,10-20 seconds,((HOAX??)) Reddish orange pulsating star.,2/27/14
6/1/60 16:00,Victoria (Canada),BC,Disk,Seconds,"I was a teenager, 15 or 16 years old, at the time of the sighting. I was standing at a bus stop, in the late afternoon.",5/15/13
4/10/57 00:15,Vernon (Canada),BC,Light,still there,two white lights one red. stationary for several minutes,2/13/20
22:20,Vancouver (Canada),BC,Light,5 minutes,Lights appear in sequence and disappear before shooting out of our atmosphere,6/7/19
12 months 13:00,Fort Nelson (Canada),BC,Changing,45 minutes,Object was bright lit and changed shapes.,9/9/13
12092019 05:30,Chilliwack,BC,Circle,15mins,Multiple lights falling in a direct line.Looking to the southeast. The odd flash as they neared earth.,12/19/19
,Kelowna (Canada),BC,,,"They were close to my home, hope they come soon ....im waiting.....",7/3/13
10/4/20 22:30,Vancouver,WA,Disk,~40 minutes,"At approximately 10:30 pm on the night of 10/4/2020 in the eastern sky over Vancouver Washington,my girlfriend and I noticed strange li",11/5/20
10/1/20 02:37,Everett,WA,Disk,1 hour,Reflective object with time loss,11/5/20
9/29/20 22:00,Oakville,WA,Unknown,30 minutes,It seemed to be scanning the landscape,11/5/20
9/29/20 20:00,Spokane,WA,Circle,20:45,"Round object in the sky with very bright red, blue and white lights flashing lights",11/5/20
9/28/20 00:00,Marysville,WA,Rectangle,2 hours,"This was in the NE sector and was about at a 10 O'clock position,noo blinking lights and appeared to be stationery. It appeared to ha",11/5/20
9/27/20 13:27,Brush Prairie,WA,Light,1 minute,UFO sighting while homeschooling my son. Multiple white objects in sky. Can see that there are different speeds and directions.,11/5/20
9/27/20 05:18,Spokane Valley,WA,Sphere,15 minutes,Lights racing around,11/5/20
9/27/20 01:45,Deerlake,WA,Oval,2 minutes,09/27/2020. Deer Lake Wa sphere 2 minutes. Glowing white sphere size of a golf ball dancing between to motion cameras,11/5/20
9/22/20 21:56,Sultan,WA,Light,4 minutes,4 pulsating lights in a row floating accross mountain top then disappeared.It was about 4 minutes then just disappeared.,11/5/20
9/20/20 19:50,Everett,WA,Formation,30 minutes,"it started as three hovering, bright gold/white lights in a triangle formation just above Snohomish river/farmland. One became dim afte",11/5/20
9/19/20 20:23,Lacey,WA,Other,1,The light appeared over neighbors home to the west moved forward towards us 1” in sky measurement. Disappeared. The light turned back o,11/5/20
9/18/20 16:12,Edmonds,WA,,,MADAR Node 61,11/5/20
9/17/20 03:52,Port Angeles,WA,,,MADAR Node 49,11/5/20
9/15/20 09:30,Seattle,WA,Unknown,3-4 minutes,Seattle UFO noises.,11/5/20
9/14/20 04:30,Sun Valley,WA,Unknown,3 minutes,"Around 4-4:30am in Sun Valley, Idaho (Elkhorn area). I looked up at the stars which w (Starlink satellites?)",11/5/20
9/12/20 21:00,Kirkland,WA,Circle,~30 minutes,4 rotating orange lights in the Kingsgate area above the Safeway.,11/5/20
9/11/20 13:53,Spokane,WA,,,MADAR Node 37,11/5/20
9/8/20 03:39,Spokane,WA,,,MADAR Node 37,11/5/20
9/6/20 22:00,Chelan,WA,Light,45 seconds,I was viewing the night sky directly overhead using a pair of 7X35 standard binoculars. Within a few seconds of putting my eyes to the,11/5/20
9/6/20 22:00,Chelan,WA,Light,45 seconds,I was viewing the night sky directly overhead using a pair of 7X35 standard binoculars. Within a few seconds of putting my eyes to the,11/5/20
9/3/20 13:30,Tacoma,WA,Fireball,3-4 minutes,"I was sitting out side at 1:30 am smoking a cigarette, Across the sky, 3 to 5 times time bigger then a jetliner,It came towards me, I w",9/4/20
9/3/20 05:39,Edmonds,WA,,,MADAR Node 61,11/5/20
9/2/20 10:52,Naches Peak Loop Trail,WA,Circle,>1 minute,Oreo-Like Circular Metallic Flying Object and a Tiny Funnel Shaped Object,9/4/20
9/2/20 03:40,Liberty Lake,WA,Changing,1 hour,A very bright constantly changing starlike light from the southeastern sky. I also noticed other much smaller lights occasionally shoot,9/4/20
8/31/20 19:00,Tacoma,WA,Other,1:24,"Outside of this world creatures come to our house, they land on walls, ceilings, mirrors, eyeglasses, car windshields & they fly.",9/4/20
8/30/20 17:30,Tacoma,WA,Sphere,10 minutes,"Bird/animal disturbance in the trees. 30 clear orbs rose up slowly. Then once at high elevation, flew around doing maneuvers.",11/5/20
8/30/20 17:30,Tacoma,WA,Sphere,10 minutes,"Bird/animal disturbance in the trees. 30 clear orbs rose up slowly. Then once at high elevation, flew around doing maneuvers.",9/4/20
8/29/20 23:45,Renton,WA,Circle,,I was looking up in the sky when I saw 1 bright red about the size of a cigarette round it was traveling west from the east and then a,9/4/20
8/28/20 02:30,McKenna,WA,Triangle,45 minutes,4 red lights it looked like over Rainer or Tanino in the shape of a triangle,9/4/20
8/24/20 23:48,Bothell,WA,Light,8 seconds,"My mother any I were sitting out in one of my field, watching the the last of the Persieds and k-Cygnids. We managed to see a couple sa",8/27/20
8/24/20 22:00,Tacoma,WA,Circle,sky,"it was a clear night ,3 lights whent by up in the sky higher than a plan ,i could faintly make out a bluish trail coming out the back l",8/27/20
8/23/20 22:00,Arlington,WA,Circle,30 seconds,"UFO description, time, date and event",9/4/20
8/23/20 04:15,Liberty lake,WA,Circle,>30 minutes,Slow pulsating circle light with orange and green hues,8/27/20
8/23/20 00:00,Spokane,WA,Other,3 seconds,"((HOAX??)) I saw an alien leaping from one backyard, across the road, and jumped the fence to an",9/4/20
8/22/20 22:00,Spanaway,WA,Changing,20 minutes,A large bright stationary &quot;star&quot; spit out several star looking objects which would then disperse in different directions.,8/27/20
8/22/20 20:38,Olympia,WA,Cylinder,30 seconds,Black tube aircraft with blue glowing orb flys faster then anything I have ever seen,8/27/20
8/22/20 03:53,Walla Walla,WA,,,MADAR Node 130,9/4/20
8/20/20 21:05,Spokane,WA,Other,3-4 seconds,V shaped almost invisible object seen,8/27/20
8/20/20 05:06,Mountlake Terrace,WA,,,MADAR Node 100,9/4/20
8/18/20 23:45,Everett,WA,Unknown,7 seconds,Ball of light dropped another flickering light.,8/20/20
8/18/20 05:00,Anacortes,WA,Disk,20 minutes,Bright metallic disc craft,8/20/20
8/17/20 22:38,Monroe,WA,Chevron,7 seconds,"My husband and I were enjoying the evening in our balcony. As I was looking up at the stars, I noticed what seemed to be a Chevron ob",8/20/20
8/17/20 21:30,Yelm,WA,Unknown,3 minutes,"Light coming from the south; light noticeably changing from red to turquoise, in longer than common intervals. As it got closer, it sto",8/20/20
8/17/20 00:31,Lynnwood,WA,Sphere,3 hours,"Bright yellow-orange glowing orb hovers over Lynnwood, WA, neighborhood",8/27/20
8/16/20 22:30,port angeles,WA,Light,hours,Fast faded star like objects.,8/20/20
8/16/20 13:07,Kenmore,WA,,,MADAR Node 47,9/4/20
8/16/20 03:57,Centralia,WA,Light,30 minutes,"Yellowish Orange Light over Centralia, Wa",8/20/20
8/16/20 01:30,Spokane,WA,Circle,every evening for the las,"Lights over Spokane at night, NOT A UFO but something monitoring the area over area above little Spokane River & Country Club",8/20/20
8/15/20 20:30,Seattle,WA,Triangle,1:45,UFO sighted above Elliot bay Washington,8/20/20
8/15/20 03:35,Montesano,WA,Light,2 minutes,Seven star-like objects transited the sky from west to east towards Mt. Rainier.,8/20/20
8/14/20 23:30,Spanaway,WA,Triangle,45 seconds,Low hovering craft,8/27/20
8/14/20 20:30,Winthrop,WA,Cross,5 minutes,We saw four shapes flying too close to one another waving from side to side silently,8/20/20
8/14/20 04:30,Shelton,WA,Formation,30 seconds,"I observed a straight line of 10-15 lights that resembled stars, spaced evenly apart traveling towards E. ((Starlink satellites??))",8/20/20
8/14/20 04:30,Tenino,WA,Formation,5 minutes,I looked up into the sky to see a line formation of lights all traveling the same way and the same distance. ((Starlink satellites?)),8/20/20
8/14/20 03:00,Anacortes,WA,Light,30 seconds,String of 20 paired lights moving west to east mid horizon. ((Starlink satellites?)),8/20/20
8/14/20 03:00,Olalla,WA,Other,20 seconds,While looking for meteors at 3am I observed a string of lights that looked like meteors ((Starlink satellites??)),8/20/20
8/13/20 23:00,Seattle,WA,Light,15 minutes,Bright star like light moved surprisingly quickly in sky,8/20/20
8/13/20 03:55,Oak Harbor,WA,Oval,45-60 seconds,30 Semi bright lights in early morning sky flying in trail formation from west to east. ((Starlink satellites?)),8/20/20
8/13/20 03:54,Stanwood,WA,Light,4 minutes,"String of UFOs, 20+ points of light, one triangular formation, moving east. ((Starlink satellites?))",8/20/20
8/13/20 03:00,Rochester,WA,Formation,5 minutes,Multiple light dashes in perfect formation shot straight up and disappeared. ((Starlink satellites?)),8/20/20
8/13/20 02:00,Renton,WA,Diamond,5 seconds,Bright light with odd sounds in surrounding area,8/20/20
8/11/20 21:30,Spokane,WA,Cross,1 minute,Flew low overhead slowly. Cross shaped with 4 red blinking lights on end of each wing and one white light in center. Not bright like a,8/20/20
8/11/20 14:30,Lake Kachess (Easbound on I-90),WA,Teardrop,1 minute,"Driving east on i90 I saw a teardrop shape grey illuminated metal vessel raised in center. The vessel wobbled over tree line, flying da",8/20/20
8/11/20 04:00,Langley,WA,Light,24 minutes,"Awoke at 4:00 AM and looked out bedroom window. Saw a light, circular and thought it was a star. It. Was a clear morning 8/22/20, quiet",8/20/20
8/9/20 03:00,Lynden,WA,Light,2 minutes,"My wife and i saw 2 bright lights to the southeast. We thought planets at first, but then they abruptly faded away.",8/20/20
8/8/20 04:40,Glenoma,WA,Cylinder,3 minutes,Me and my buddy who I carpool with where driving home it was about 4:40 am and we seen a string of lights just over the hillside skylin,8/20/20
8/7/20 04:40,Kelso,WA,Oval,2 minutes,Oval shaped object about 200' long.,8/20/20
8/7/20 04:00,Onalaska,WA,Cigar,4 minutes,I went outside around 4:45 am a bright light in the sky caught my eye. At first I thought thought it was a comet but realized it was a,8/20/20
8/7/20 04:00,Zillah,WA,Formation,3 minutes,Straight line of satellites bunched close together moving SW to north. ((Starlink satellites?)),8/20/20
8/7/20 04:00,Moses Lake,WA,Rectangle,5 minutes,I woke up about 3:50am. Went outside to look at the stars. I looked up and to my amazement there was a flying object that looked like,8/20/20
8/7/20 03:05,Olympia,WA,Formation,30 seconds,linear object with white round lights going down or across sky to East,8/20/20
8/6/20 23:30,Tacoma,WA,Other,3 minutes,Hovering craft by Tacoma Wa,8/20/20
8/6/20 22:30,Edgewood,WA,Unknown,1 second,My buddy and I were smoking in an open field when we both were struck with a very bright light that blinded us for a second. Our best g,8/20/20
8/4/20 15:39,Edmonds,WA,,,MADAR Node 61,8/20/20
8/2/20 03:47,Lacey,WA,,,MADAR Node 50,8/20/20
7/31/20 16:00,Vancouver,WA,Cigar,20 seconds,"Extraordinarily bright, metallic, cigar shaped object moving with unchanging speed and direction disappears into trees.",8/6/20
7/30/20 19:10,Kenmore,WA,Oval,5 minutes,Oval shaped UFO seen in Kenmore Washington.,8/27/20
7/26/20 10:00,Millcreek,WA,Circle,12-15 seconds,10:30.First saw Green blinking lights in the kitchen window. They blinked and were green. About 2 min later I was on my way out to thro,7/31/20
7/25/20 22:15,Kent,WA,Other,5 minutes,Cluster of multiple moving objects seen in western Washington moving from east to west.,7/31/20
7/25/20 22:15,Balck Diamond,WA,Oval,5 minutes,Strange lights over Lake Sawyer - 25/July/2020 - 10:15 PM PDT,8/6/20
7/25/20 01:00,Snohomish,WA,Sphere,5-7 minutes,"5-6 Orange orbs NO noise/sound, flying in sync",8/6/20
7/25/20 00:00,Smokey Point,WA,Oval,1 hour,Blinking orangish red light Slowly moving across sky to the north. Looked with binoculars and saw an oval shape with lights.,7/31/20
7/23/20 21:30,Kennewick,WA,Circle,2 minutes,"Military aircraft escorting glowing orb south of Kennewick, Washington.",7/31/20
7/23/20 16:39,Walla Walla,WA,,,MADAR Node 130,7/31/20
7/22/20 23:47,Anacortes,WA,Changing,Ten minutes,"Noticed a couple of especially bright lights low in the southern sky. I watched awhile, thinking they might move. I hen walked to the E",7/31/20
7/22/20 21:36,Dash Point,WA,Fireball,00:01:15,"JULY 22, 2020 Dash Point, Pierce Co., WA 98422 9:30-9:40PM. On Saturday July 25, my wife and I and our little bichon went down to w",7/31/20
7/22/20 04:10,Ferndale,WA,Oval,1 minute,Came outside for morning coffee and bright point of light caught my attention. No noise and object was not moving but seemed to vary in,7/31/20
7/21/20 22:21,Mill Creek,WA,Rectangle,6-7 seconds,Unknown rectangle with no lights passed through the photo frame of a camera set up to photograph comet Neowise.,7/23/20
7/20/20 22:30,Orient,WA,Rectangle,30 seconds,((NUFORC Note: Witness provides no information about his sighting. PD)),8/20/20
7/20/20 22:13,Seattle,WA,,30 minutes,Flashing red and blue satellite-like object,7/23/20
7/20/20 21:45,Appleton,WA,Sphere,1 minute,The object was observed with binoculars heading from West to East.The object was a very bright white ball of light and moved withou,7/23/20
7/20/20 10:00,Woodland,WA,Sphere,2 minutes,"2 sphere UFOs, color was white or reflective, 3000 feet elevation, one was larger than the other, flying very close to each other.",7/31/20
7/20/20 03:54,Walla Walla,WA,,,MADAR Node 130,7/31/20
7/15/20 23:00,Spokane,WA,Flash,5-10 seconds,"Saw a large bright light in the sky to the south , it flashed twice , then disappeared quickly , it didn’t appear to be moving when it",7/23/20
7/14/20 23:30,Shelton,WA,Circle,3 minutes,I was left confused it looked like the two objects were in conflict with each other .,7/23/20
7/14/20 20:00,Everett,WA,Light,5 minutes,Light above a mountain.,7/23/20
7/14/20 13:45,Tacoma,WA,Other,5 seconds,Small Metallic Red Tri-Orb UFO Viewed Descending Towards Seattle from AA Flight Passenger,7/23/20
7/11/20 14:30,Lynnwood,WA,Changing,1 minute,Black orb seen in sky.,7/23/20
7/11/20 00:30,Mill Creek,WA,Chevron,12 seconds,red chevron slowly moved from east to west for 12 sec.,7/23/20
7/10/20 22:39,Dash Point,WA,Fireball,,"WHITE CORE, RED ORANGE HALO, UFO OVER PUGET SOUND, DASH POINT WA",7/23/20
7/10/20 22:35,Dash Point,WA,Circle,2 minutes,We were getting ready to go to bed at turn the lights off and the bedroom has a slider of glass door and through it I saw what looked l,7/23/20
7/10/20 22:00,Richland,WA,Disk,7-10 minutes,Flat cigar shape with 3 bright white lights.,7/23/20
7/10/20 15:30,Sumner,WA,Triangle,30 seconds,"Black triangle, no lights. Flying must faster than commercial plane or heliocopter. W to E.",7/23/20
7/9/20 10:48,Lacey,WA,,,MADAR Node 50,7/23/20
7/8/20 20:30,Puyallup,WA,Circle,5 minutes,Circular flying object in the sky,7/9/20
7/5/20 00:00,Spokane,WA,Circle,60 minutes,Red circular haze UFO with fire type color in the center,7/31/20
7/4/20 23:00,Seattle,WA,Fireball,1 minute,"O.K, first & foremost it was the 4th of July- Although, I'm 62, & have been watching the sky for yrs.(& I've seen some stuff)Anyway, i",7/9/20
7/4/20 22:00,Roche Harbor,WA,Oval,20 minutes,UFO sighting during Fireworks display in Roche Harbor WA,7/31/20
7/4/20 20:30,Lake Stevens,WA,Circle,8 minutes,"Two ufo in sky, looked like dog fight or chase. Picked up the last 7 minutes on phone.",7/9/20
7/4/20 00:55,Aberdeen,WA,Unknown,7 seconds,Green blinking light on a zig zagging UFO,7/9/20
6/28/20 22:15,Raymond,WA,Sphere,3-4 minutes,"Orange ball, obviously with intelligence, moving unnaturally.",7/3/20
6/26/20 22:05,Vashon,WA,Light,2-3 minutes,"Round firelike objects moving in pairs of two in the same direction ahead to left, totalling eight. ((Starlink satellites?))",7/3/20
6/26/20 06:27,Edmonds,WA,,,MADAR Node 61,7/3/20
6/23/20 15:10,Mountlake Terrace,WA,,,MADAR Node 100,7/3/20
6/13/20 23:50,Lummi Island,WA,Light,40 seconds,Long object with lights on both ends traveling soundlessly nw to se,6/25/20
6/11/20 08:37,Kenmore,WA,,,MADAR Node 47,7/9/20
6/10/20 23:15,Seattle,WA,Flash,,"My girlfriend and I went outside for a smoke and as were walking I notice a big bright red flah coming from the north side of the sky,",6/25/20
6/6/20 03:02,Edmonds,WA,,,MADAR Node 61,7/9/20
5/29/20 03:15,Lacey,WA,,,MADAR Node 50,7/3/20
5/27/20 23:10,Kirkland,WA,Light,30-60 seconds,Bright white light wavers into distance before disappearing.,6/25/20
5/24/20 01:36,Port Angeles,WA,,,MADAR Node 49,6/25/20
5/23/20 14:55,Port Angeles,WA,,,MADAR Node 49,6/25/20
5/21/20 01:36,Lacey,WA,,,MADAR Node 50,6/25/20
5/19/20 22:46,Burien,WA,Light,90 seconds,3 Satellites cross overhead and pulse bright white,6/25/20
5/19/20 00:00,Port Hadlock,WA,Circle,10,((NUFORC Note: Witness provides no information about sighting. Date may be wrong. PD)),6/25/20
5/18/20 21:30,Everson,WA,Light,2 minutes,3 Bright lights.,6/25/20
5/17/20 21:53,Kennewick,WA,Sphere,2 minutes,Silent Red pulsing sphere moved from the south toward us then moved west until view was blocked by a structure after two minutes.,6/25/20
5/16/20 19:00,Kirkland,WA,Chevron,15 minutes,Witnessed an oddly shaped almost sideways facing Chevron craft slowly hovering northbound along the I5 corridor from kirkland. This cra,6/25/20
5/16/20 01:00,Kent,WA,Light,5 minutes,"Red and white glow brighter than stars, silent, no airplane sounds.",6/25/20
5/14/20 03:30,Nooksack,WA,Light,5 minutes,Dancing light in the sky.,5/15/20
5/13/20 22:40,Port Orchard,WA,Sphere,1 minute,White sphere moving quickly pulsating and flashing west to East across the sky.,6/25/20
5/13/20,Manson,WA,Light,10-15 minutes,"This first appeared to be a star that got MUCH brighter, it was moving very slowly, SE to NW and got dimmer/smaller as it moved",6/25/20
5/11/20 11:52,Mountlake Terrace,WA,,,MADAR Node 100,6/25/20
5/10/20 23:40,Sequim,WA,Diamond,7 minutes,Diamond shaped UFO with 2 large red/blue lights demonstrated erratic flight patterns in clear night sky,6/25/20
5/10/20 22:20,Seattle,WA,Light,3-5 minutes,4 circular UFOs spotted over Seattle,6/25/20
